Checked?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,16-Apr-22,17-Apr-22,18-Apr-22,19-Apr-22,20-Apr-22,21-Apr-22,22-Apr-22,23-Apr-22,24-Apr-22,25-Apr-22,26-Apr-22,27-Apr-22,28-Apr-22,29-Apr-22,30-Apr-22,01-May-22,02-May-22,03-May-22,04-May-22,05-May-22,06-May-22,07-May-22,08-May-22,09-May-22,10-May-22,11-May-22,12-May-22,13-May-22,14-May-22,15-May-22,16-May-22,17-May-22,18-May-22,19-May-22,20-May-22,21-May-22,22-May-22,23-May-22,24-May-22,25-May-22,26-May-22,27-May-22,28-May-22,29-May-22,30-May-22,31-May-22,01-Jun-22,02-Jun-22,03-Jun-22,04-Jun-22,05-Jun-22,06-Jun-22,07-Jun-22,08-Jun-22,09-Jun-22,10-Jun-22,11-Jun-22,12-Jun-22,13-Jun-22,14-Jun-22,15-Jun-22,16-Jun-22,17-Jun-22,18-Jun-22,19-Jun-22,20-Jun-22,21-Jun-22,22-Jun-22,23-Jun-22,24-Jun-22,25-Jun-22,26-Jun-22,27-Jun-22,28-Jun-22,29-Jun-22,30-Jun-22,01-Jul-22,02-Jul-22,03-Jul-22,04-Jul-22,05-Jul-22,06-Jul-22,07-Jul-22,08-Jul-22,09-Jul-22,10-Jul-22,11-Jul-22,12-Jul-22,13-Jul-22,14-Jul-22,15-Jul-22,16-Jul-22,17-Jul-22,18-Jul-22,19-Jul-22,20-Jul-22,21-Jul-22,22-Jul-22,23-Jul-22,24-Jul-22,25-Jul-22,26-Jul-22,27-Jul-22,28-Jul-22,29-Jul-22,30-Jul-22,31-Jul-22,01-Aug-22,02-Aug-22,03-Aug-22,04-Aug-22,05-Aug-22,06-Aug-22,07-Aug-22,08-Aug-22,09-Aug-22,10-Aug-22,11-Aug-22,12-Aug-22,13-Aug-22,14-Aug-22,15-Aug-22,16-Aug-22,17-Aug-22,18-Aug-22,19-Aug-22,20-Aug-22,21-Aug-22,22-Aug-22,23-Aug-22,24-Aug-22,25-Aug-22,26-Aug-22,27-Aug-22,28-Aug-22,29-Aug-22,30-Aug-22,31-Aug-22,01-Sep-22,02-Sep-22,03-Sep-22,04-Sep-22,05-Sep-22,06-Sep-22,07-Sep-22,08-Sep-22,09-Sep-22,10-Sep-22,11-Sep-22,12-Sep-22,13-Sep-22,14-Sep-22,15-Sep-22,16-Sep-22
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,FELL,,,,,,FELL,,,,,,,FELL,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,FELL,,,,,,FELL,,,,,,,FELL,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMOVED,,,REMOVED,,,,BUILDING,,,NFNE,,,,FNE,,,CI,,,,3E,,,3E,,,3E,3E,,,3E,EHD,EHD,EHD,EHD,EHD,,CH,,,,1N,,,1N,,,,1N,12,,1N,,,,>=0N,,,x,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,,NOT CHECKED,,,,,,NOT CHECKED,,,,,,,NOT CHECKED,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,FELL,,,FELL,,,,,FELL,,,,,,FELL,,,,,,,FELL,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,,NFNE,,,,,,NFNE,,,,,,,NFNE,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,,NOT FOUND,,,,,,NOT FOUND,,,,,,,NOT FOUND,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,,,NFNE,,,,NFNE,,,NOT CHECKED,NFNE,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NOT CHECKED,NFNE,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,,NFNE,,,,,,NFNE,,,,,,,NOT CHECKED,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,,NOT CHECKED,,,,,,NOT CHECKED,,,,,,,NOT CHECKED,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,CI,2E,,,4E,,,,4E,,,4E,,,,4E,CH,,3N1E,,,,3N1E,,,3N,,,12,,>=1N,,,,,,>=3N,,,,,,,x,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT CHECKED,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,NOT FOUND,,,NOT FOUND,,,,,NOT FOUND,,,,,,NOT FOUND,,,,,,,NOT FOUND,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,,,BROKEN,,,,BROKEN,,,BROKEN,,,,BROKEN,,,BROKEN,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,,NFNE,,,,,,NOT CHECKED,,,,,,,NOT CHECKED,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,,NFNE,,,,,,NFNE,,,,,,,NFNE,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NOT CHECKED,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NOT CHECKED,NFNE,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,,NFNE,,,,,,NFNE,,,,,,,NFNE,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,,,NFNE,,,,NFNE,,,NOT CHECKED,NFNE,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NOT CHECKED,NFNE,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,,NFNE,,,,,,NFNE,,,,,,,NOT CHECKED,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CI,2E,,,3E,,,,NOT CHECKED,3E,,3E,,,,3E,EHD,CH,3N,,,,3N,,,3N,,,,12,3N,,>=0N,,,,>=2N,,,X,,,,oldFNE,,,oldFNE,,,,,oldFNE,,,,,,oldFNE,,,,,,,oldFNE,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,,,,NOT CHECKED,NFNE,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NOT CHECKED,NFNE,,NOT CHECKED,,,,NOT CHECKED,,,NOT CHECKED,,,,NOT CHECKED,,,NFNE,,,,,NOT CHECKED,,,,,,NOT CHECKED,,,,,,,NOT CHECKED,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CI,,,,,1E,,1E,,,,1E,,EHD,EHD,EHD,EHD,EHD,EHD,EHD,EHD,x,,,,1E,,,1E,,,,1E,,,1E,,,,1E,,,1E,,,,,1E,,,,,,oldFNE,,,,,,,oldFNE,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,,,NFNE,,,,NFNE,,,NFNE,,,,NFNE,,,FNE,CI,,,4E,,,5E,,,,5E,,,5E,,,CH,EHD,4N 1E,,,,,,4N,,,,12,4N,,>=0N,,,,,>=1N,,,,,,>=3N,,,,x,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUILDING,,,NFNE,,CI,,3E,,,4E,,,,4E,,,4E,,,,EHD,CH,,4N 1E,,,,,4N,,,,,12,>=2N,,,,,,,>=1N,,,,,x,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,,,CI,,,,5E,,,5E,,,,5E,,,5E,,,CH,,5N,,,,,,4N,,,,12,,1N,1N,,,,,x,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFNE,CI,,,4E,,,4E,,,,4E,,,4E,,,CH,,3N 1E,,,,,,3N,,,,12,,3N,4N?,,,,,>=2N,,,,,,>=3N,,,,x,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
